theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,thetadd6
0.73646,-1.761829,1.590594,-0.268853,0.572145,-1.941886,0.727704,1.869884,0.22450100000000003,-1.442215,1.2228780000000001,2.1841470000000003,-17.700874,-48.591059,-69.92064599999999,-56.304775,35.642548,0.539676,2.083801,0.439963,2.451373,1.973873,2.381104,2.220872,2.440442,0.510303,1.157391,0.265448,1.141465,0.35631399999999996,0.5688529999999999,1.954376,"[0.0245966, 0.089805]"
-0.38971100000000003,0.342256,-1.522463,0.237098,-1.771509,-0.8854879999999999,-0.679111,-0.41021899999999994,-0.331288,2.092878,1.7353580000000002,1.185432,-13.44875,16.857753,-21.747815,34.47052,46.03646,1.8967490000000002,2.16689,1.9245419999999998,1.270063,1.697582,0.504973,1.580327,0.809171,2.235141,1.517466,1.795334,0.9293549999999999,1.663727,0.7544569999999999,0.650492,"[-0.005967399999999999, 0.006497999999999995]"
-0.269351,1.622452,-2.0478110000000003,1.7206029999999999,-1.7499639999999999,-1.618348,0.32718800000000003,-0.317671,0.046938,1.9118810000000002,-0.80316,2.281413,-31.820684000000004,-60.239107999999995,61.312743000000005,-16.728557000000002,-56.860861,1.2176,1.947443,1.424887,0.5711970000000001,0.853634,0.27124000000000004,1.723625,1.7189830000000001,2.438604,1.113059,2.18027,1.7947810000000002,0.627965,0.961728,1.258398,"[-0.005967399999999999, 0.006497999999999995]"
0.25684,0.16504000000000002,-1.776401,1.723357,2.117348,-1.692605,1.077334,1.761624,-0.333281,1.57386,1.228959,0.7088479999999999,21.786179,10.305694,-42.206506,-14.753722,-15.809157,0.557422,1.096861,2.1835880000000003,1.308812,0.45453999999999994,2.20635,1.3699219999999999,1.528851,1.9017060000000001,2.222391,0.968513,0.546513,2.23634,1.412382,1.8983740000000002,"[-0.005967399999999999, 0.006497999999999995]"
0.9682700000000001,1.834561,0.299747,0.30814400000000003,0.064617,2.174855,-1.213028,-1.563548,-2.27727,-0.059009000000000006,-2.169927,-0.781419,3.9571410000000005,57.666741,54.922653000000004,-14.973707999999998,36.882913,0.491771,2.437949,1.362933,1.056741,0.646724,1.235894,1.171433,2.2738709999999998,2.199479,0.6464,0.302676,1.323917,2.3248990000000003,0.33421999999999996,0.491228,"[0.006497999999999995, 0.0245966]"
1.9732189999999998,-1.9003279999999998,1.755539,1.069326,-0.896503,-2.0260540000000002,-0.15903699999999998,-1.017832,-0.739092,-0.066928,1.403939,1.0670979999999999,-20.289144,-49.643,-49.894246,-72.587127,-21.835739,2.2259599999999997,2.46699,1.196056,2.107127,0.989808,0.696371,0.906589,1.5407549999999999,1.7225840000000001,2.211768,2.4374569999999998,2.087463,1.235701,2.424325,1.88345,"[0.0245966, 0.089805]"
0.825565,2.000705,-1.7593889999999999,0.185671,0.969628,1.0978700000000001,-1.805552,1.879531,2.132396,1.460123,-1.826648,0.743513,-32.964663,62.907365000000006,-65.911658,-27.237363000000002,21.645967000000002,2.181548,0.776967,0.981137,1.213539,1.197058,0.948815,2.4778330000000004,1.189986,1.349215,2.2500259999999996,1.94425,1.7623529999999998,2.3638049999999997,1.7221009999999999,0.8498889999999999,"[0.006497999999999995, 0.0245966]"
0.734112,1.1800680000000001,-1.034351,-0.34126,-0.5745359999999999,-0.540296,0.018133,-1.545991,0.647626,-0.97031,1.576308,-0.03921,23.303159,6.200741000000001,-34.151271,69.594734,-21.298284,0.471062,0.892202,0.48789399999999994,0.289095,0.325768,2.435523,1.090482,0.724301,2.331182,2.42771,0.269038,0.718057,0.878972,0.8760690000000001,1.594595,"[-0.086661, -0.023139399999999997]"
0.805596,0.9643879999999999,-2.149934,0.664719,-1.144362,-2.030436,1.578742,-1.53829,-1.874612,0.435958,-0.624537,-2.103455,-13.362685999999998,-36.667202,-65.66674300000001,39.042332,-65.526356,1.353083,2.0182189999999998,0.708041,1.302717,1.5060950000000002,1.934665,0.416524,2.271327,2.189305,0.6424880000000001,2.047515,0.33719,0.898273,1.266921,0.634945,"[-0.023139399999999997, -0.005967399999999999]"
0.10463499999999999,0.871885,-1.75768,0.6380520000000001,-1.665193,-0.016683,2.346091,2.1861029999999997,-0.671349,-1.9007880000000001,-1.250359,-2.2394849999999997,-37.447745,15.757451000000001,-64.51881999999999,-17.800314999999998,-69.891474,1.1349479999999998,1.0674190000000001,2.355897,1.563933,2.023823,0.393097,2.281937,0.5139090000000001,1.016225,1.43536,1.093416,0.546241,2.1685849999999998,1.158092,0.802747,"[-0.023139399999999997, -0.005967399999999999]"
